AirportID|AirportCode|AirportName|Latitude|Longitude|MainCityID|CountryCode
6026520|BHV|Bahawalpur, Pakistan (BHV)|29.350838|71.711054||PK
6026522|BHY|Beihai, China (BHY)|21.540755|109.289846|576|CN
6026526|BID|Block Island, RI, United States (BID-Block Island State)|41.169500|-71.579510||US
6026528|BIE|Beatrice, NE, United States (BIE-Beatrice Municipal)|40.299650|-96.749730|6356|US
6026530|BIH|Bishop, CA, United States (BIH-Eastern Sierra Regional)|37.370410|-118.363870||US
6026532|BII|Bikini, Marshall Islands (BII)|11.525358|165.566711||MH
6026534|BIK|Biak, Indonesia (BIK-Frans Kaisiepo)|-1.192194|136.107165|582|ID
6026536|BIR|Biratnagar, Nepal (BIR)|26.483173|87.266808||NP
6026538|BIS|Bismarck, ND, United States (BIS-Bismarck Municipal)|46.775370|-100.757130|588|US
6026540|BIU|Bildudalur, Iceland (BIU)|65.645739|-23.542759|6358|IS
6026542|BIY|Bisho, South Africa (BIY)|-32.895858|27.287492|589|ZA
6026544|BJA|Bejaia, Algeria (BJA-Soumman)|36.715314|5.071215||DZ
6026546|BJD|Bakkafjordur, Iceland (BJD)|66.021942|-14.824444|591|IS
6026548|BJF|Batsfjord, Norway (BJF)|70.602320|29.694100||NO
6026550|BJI|Bemidji, MN, United States (BJI-Bemidji Regional)|47.506820|-94.933880|6059993|US
6026554|BJX|Leon, Guanajuato, Mexico (BJX-Del Bajio)|20.985561|-101.479192|6052458|MX
6026556|BJZ|Badajoz, Spain (BJZ-Talavera La Real)|38.894079|-6.819078|6055139|ES
6026558|BKB|Bikaner, India (BKB-Nal)|28.070920|73.212719|6366|IN
6026560|BKC|Buckland, AK, United States (BKC)|65.981000|-161.139000||US
6026562|BKE|Baker City, OR, United States (BKE)|44.834220|-117.809000||US
6026564|BKJ|Boke, Guinea (BKJ)|10.959698|-14.282129||GN
6026566|BKL|Cleveland, OH, United States (BKL-Burke Lakefront)|41.516720|-81.680340||US
6026568|BKM|Ba'Kelalan, Malaysia (BKM)|3.969580|115.613937||MY
6026570|BKO|Bamako, Mali (BKO-Senou Intl.)|12.541152|-7.946118|606|ML
6026572|BKQ|Blackall, QLD, Australia (BKQ)|-24.427927|145.434093||AU
6026576|BKW|Beckley, WV, United States (BKW-Raleigh County Memorial)|37.783690|-81.120830|6057097|US
6026578|BKX|Brookings, SD, United States (BKX-Brookings Regional)|44.307720|-96.812550|611|US
6026580|BKZ|Bukoba, Tanzania (BKZ)|-1.332357|31.821038||TZ
6026582|BLA|Barcelona, Venezuela (BLA-General Jose Antonio Anzoategui Intl.)|10.107903|-64.685913||VE
6026584|BLE|Borlange, Sweden (BLE-Dala)|60.429780|15.508010|6052761|SE
6026586|BLF|Bluefield, WV, United States (BLF-Mercer County)|37.291970|-81.209540|6056934|US
6026588|BLG|Belaga, Malaysia (BLG)|2.650707|113.768234||MY
6026590|BLH|Blythe, CA, United States (BLH)|33.613440|-114.713330||US
