RegionID|RegionName|Coordinates
6023732|Hilo, Hawaii, United States of America (type 3)|19.63570;-155.12052:19.71469;-155.00099:19.79818;-155.04611:19.80837;-155.11954:19.75144;-155.18418
6023942|Tropea, Italy (type 3)|38.66670;15.85828:38.65133;15.87504:38.65411;15.87959:38.65568;15.88540:38.66513;15.90050:38.66949;15.91487:38.67184;15.91447:38.67428;15.91375:38.67635;15.91065:38.68038;15.90660:38.68493;15.90355:38.67736;15.87104
6023970|Portocolom, Spain (type 5)|39.44824;3.24185:39.42196;3.22179:39.40236;3.26546:39.41336;3.27847:39.43400;3.28554
6024125|Playa Blanca, Yaiza, Spain (type 1)|28.88501;-13.88640:28.84955;-13.87826:28.83461;-13.77755:28.86792;-13.75337:28.88813;-13.83345
6024126|Costa Teguise, Teguise, Spain (type 1)|28.99626;-13.53207:28.97746;-13.51178:28.99626;-13.47574:29.01363;-13.46554:29.02576;-13.48528
6025050|Kotor Bay, Montenegro (type 5)|42.51749;18.49867:42.51771;18.80510:42.38275;18.80584:42.38196;18.50171
6025062|Waiheke Island, New Zealand (type 3)|-36.74000;174.95500:-36.73200;175.25200:-36.80400;175.18400:-36.87700;175.11700:-36.84800;174.96900
6025064|Anavilhanas Archipelago, Brazil (type 5)|-3.18489;-60.49363:-2.93573;-60.37900:-2.24863;-61.02607:-2.57690;-61.04741
6025583|East Midlands Airport (EMA), England, United Kingdom (type 4)|52.85558;-1.38743:52.80906;-1.38746:52.80893;-1.26027:52.85631;-1.25999
6025673|Arbatax, Italy (type 5)|39.94043;9.63904:39.95010;9.69849:39.94111;9.71379:39.93249;9.72645:39.89969;9.69645:39.89968;9.63870
6025853|Bo'ao, Qionghai, China (type 1)|19.21456;110.56091:19.21456;110.62443:19.12538;110.62443:19.12538;110.56091
