RegionID|RegionType|RelativeSignificance|SubClass|RegionName|RegionNameLong|ParentRegionID|ParentRegionType|ParentRegionName|ParentRegionNameLong
6297325|City||tree|Glaciar Spegazzinni|Glaciar Spegazzinni, Argentina|8|Country|Argentina|Argentina
6297354|City||tree|Canal Cristina|Canal Cristina, Argentina|8|Country|Argentina|Argentina
6054191|City|||San Pedro Norte|San Pedro Norte, Argentina|6054204|Multi-Region (within a country)|Cordoba (province)|Cordoba (province), Argentina
6057800|City|||Villa Maria|Villa Maria, Argentina|6054204|Multi-Region (within a country)|Cordoba (province)|Cordoba (province), Argentina
564|City|||Bahia Blanca|Bahia Blanca, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
2119|City|||La Plata|La Plata, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
178084|City|||Veinticinco de Mayo|Veinticinco de Mayo, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6049083|City|||Magdalena|Magdalena, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6049478|City|||Tapalque|Tapalque, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6051367|City|||Castelli|Castelli, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6124835|City|||Necochea|Necochea, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6129068|City|||Carabelas|Carabelas, Campana, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6140842|City|||Tandil|Tandil, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6141340|City|||Brandsen|Brandsen, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6141816|City|||Coronel Vidal|Coronel Vidal, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6142856|City|||Junin|Junin, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6159364|City|||Canuelas|Canuelas, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6191827|City|||Chascomus|Chascomus, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6197749|City|||San Miguel del Monte|San Miguel del Monte, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6201112|City|||Monte Hermoso|Monte Hermoso, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6201385|City|||Claromeco|Claromeco, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6217463|City|||Trenque Lauquen|Trenque Lauquen, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6295394|City|||Quequen|Quequen, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6308696|City|||Carmen de Patagones|Carmen de Patagones, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6322424|City|||Sierra de la Ventana|Sierra de la Ventana, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6323659|City||neighbor|Atalaya|Atalaya, Magdalena, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6323661|City|||Azul|Azul, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6323668|City|||Chacabuco|Chacabuco, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6323669|City|||Chivilcoy|Chivilcoy, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6323671|City|||Duggan|Duggan, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6323673|City|||Gardey|Gardey, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6337969|City||tree|Paseo de las Esculturas|Paseo de las Esculturas, Bahia Blanca, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6343529|City|||Bragado|Bragado, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6343530|City|||Carmen de Areco|Carmen de Areco, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6343531|City|||Coronel Suarez|Coronel Suarez, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6347425|City|||Lobos|Lobos, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6347827|City|||Pergamino|Pergamino, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
6348255|City|||Los Toldos|Los Toldos, Argentina|6054206|Multi-Region (within a country)|Buenos Aires (province)|Buenos Aires (province), Argentina
1351|City|||General Roca|General Roca, Argentina|6210116|Multi-City (Vicinity)|Neuquen (and vicinity)|Neuquen (and vicinity), Argentina
2595|City|||Neuquen|Neuquen, Argentina|6210116|Multi-City (Vicinity)|Neuquen (and vicinity)|Neuquen (and vicinity), Argentina
6142499|City|||Cipolletti|Cipolletti, Argentina|6210116|Multi-City (Vicinity)|Neuquen (and vicinity)|Neuquen (and vicinity), Argentina
6346639|City|||Anelo|Anelo, Argentina|6210116|Multi-City (Vicinity)|Neuquen (and vicinity)|Neuquen (and vicinity), Argentina
2164|City|||San Luis|San Luis, Argentina|6210438|Multi-City (Vicinity)|San Luis (and vicinity)|San Luis (and vicinity), Argentina
6141856|City|||Trapiche|Trapiche, Argentina|6210438|Multi-City (Vicinity)|San Luis (and vicinity)|San Luis (and vicinity), Argentina
6210448|City|||La Punta|La Punta, Argentina|6210438|Multi-City (Vicinity)|San Luis (and vicinity)|San Luis (and vicinity), Argentina
6210454|City|||Potrero de los Funes|Potrero de los Funes, Argentina|6210438|Multi-City (Vicinity)|San Luis (and vicinity)|San Luis (and vicinity), Argentina
6127218|City|||Nono|Nono, Argentina|6210708|Multi-City (Vicinity)|Mina Clavero (and vicinity)|Mina Clavero (and vicinity), Argentina
6128918|City|||Pampa de Achala|Pampa de Achala, Argentina|6210708|Multi-City (Vicinity)|Mina Clavero (and vicinity)|Mina Clavero (and vicinity), Argentina
6140916|City|||San Javier|San Javier, Argentina|6210708|Multi-City (Vicinity)|Mina Clavero (and vicinity)|Mina Clavero (and vicinity), Argentina
6159783|City|||Las Rosas|Las Rosas, Argentina|6210708|Multi-City (Vicinity)|Mina Clavero (and vicinity)|Mina Clavero (and vicinity), Argentina
6177556|City|||Mina Clavero|Mina Clavero, Argentina|6210708|Multi-City (Vicinity)|Mina Clavero (and vicinity)|Mina Clavero (and vicinity), Argentina
6210719|City|||Villa Cura Brochero|Villa Cura Brochero, Argentina|6210708|Multi-City (Vicinity)|Mina Clavero (and vicinity)|Mina Clavero (and vicinity), Argentina
178060|City|||Villa General Belgrano|Villa General Belgrano, Argentina|6210727|Multi-City (Vicinity)|Calamuchita Valley|Calamuchita Valley, Argentina
6130702|City|||Villa Del Dique|Villa Del Dique, Argentina|6210727|Multi-City (Vicinity)|Calamuchita Valley|Calamuchita Valley, Argentina
6130935|City|||Santa Rosa de Calamuchita|Santa Rosa de Calamuchita, Argentina|6210727|Multi-City (Vicinity)|Calamuchita Valley|Calamuchita Valley, Argentina
6316195|City|||Villa Yacanto|Villa Yacanto, Argentina|6210727|Multi-City (Vicinity)|Calamuchita Valley|Calamuchita Valley, Argentina
6346640|City|||Almafuerte|Almafuerte, Argentina|6210727|Multi-City (Vicinity)|Calamuchita Valley|Calamuchita Valley, Argentina
3562|City|||Tucuman|Tucuman, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6129485|City|||Tafi del Valle|Tafi del Valle, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6348175|City||neighbor|Yerba Buena|Yerba Buena, Tucuman, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6348186|City|||San Pedro de Colalao|San Pedro de Colalao, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6348188|City|||El Mollar|El Mollar, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6348239|City|||Concepcion|Concepcion, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6348660|City|||Famailla|Famailla, Argentina|6210982|Multi-City (Vicinity)|Tucuman (and vicinity)|Tucuman (and vicinity), Argentina
6034204|City|||Campana|Campana, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6035409|City|||Pilar|Pilar, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6049682|City|||San Antonio de Areco|San Antonio de Areco, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6127600|City|||Lujan|Lujan, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6142991|City|||Capilla del Senor|Capilla del Senor, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6143394|City|||Mercedes|Mercedes, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323660|City|||Azcuenaga|Azcuenaga, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323666|City|||Carlos Keen|Carlos Keen, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323670|City|||Diego Gaynor|Diego Gaynor, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323675|City|||General Rodriguez|General Rodriguez, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323680|City|||La Reja|La Reja, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323682|City||neighbor|Open Door|Open Door, Lujan, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323688|City|||Ruiz|Ruiz, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
6323690|City|||San Andres de Giles|San Andres de Giles, Argentina|6211235|Multi-City (Vicinity)|Pilar (and vicinity)|Pilar (and vicinity), Argentina
1316|City|||Gobernador Gregores|Gobernador Gregores, Argentina|6232229|Multi-Region (within a country)|Santa Cruz (province)|Santa Cruz (province), Argentina
2899|City|||Puerto Deseado|Puerto Deseado, Argentina|6232229|Multi-Region (within a country)|Santa Cruz (province)|Santa Cruz (province), Argentina
2985|City|||Rio Gallegos|Rio Gallegos, Argentina|6232229|Multi-Region (within a country)|Santa Cruz (province)|Santa Cruz (province), Argentina
3065|City|||Rio Turbio|Rio Turbio, Argentina|6232229|Multi-Region (within a country)|Santa Cruz (province)|Santa Cruz (province), Argentina
3628|City|||San Julian|San Julian, Argentina|6232229|Multi-Region (within a country)|Santa Cruz (province)|Santa Cruz (province), Argentina
