RegionID|EANHotelID
6302463|420030
6166843|114664
6228500|320430
6290844|353938
6046228|371236
6081300|444124
6087804|459494
6081158|512603
6195414|171923
6296018|227918
6067550|241004
6226226|260493
6117771|543511
6267516|540506
6223765|128041
6260947|183788
6106941|198401
6156061|339970
6082484|448125
6268296|503190
6222656|528541
6002150|538052
180030|278427
6235972|344701
6076459|364560
6061756|375172
6001673|429342
6232876|501286
3124|550529
178283|234878
6153513|264309
6122495|344512
6091586|545155
6328061|222327
6118043|272793
6002736|332928
6073558|445516
6152263|475660
6264099|538605
6186668|136049
6238212|138414
6215714|425167
6109869|227627
6100953|262391
6092220|277822
6168998|278693
6074007|318063
6051034|349373
6072440|540524
6158183|549624
6100441|410083
6116953|410411
6272009|436142
6075287|483828
6126868|517332
6100525|527422
6335734|108197
6209554|376269
6123220|388131
6231714|414807
6127929|451437
6203074|538189
6262251|106760
6074157|116524
6000854|185346
6072454|117064
6155971|134220
6277180|161395
6074101|280117
6061732|318893
6227921|350847
6067922|441240
6268075|453031
6072122|543859
6005826|119608
6072564|217995
6300429|240000
6231337|414221
6092742|506546
6239569|511891
6068012|120087
6167054|336292
6237157|401043
6003087|111600
6073578|163328
6216530|221159
6066776|278900
6228564|447560
6139906|502706
6055798|143885
6102801|217795
6053346|489292
6080602|110285
6111421|230795
6114795|396929
6125267|402126
6224674|447585
6068250|454093
6124520|470262
602003|525038
