EANHotelID|SequenceNumber|Name|Address1|Address2|City|StateProvince|PostalCode|Country|Latitude|Longitude|AirportCode|PropertyCategory|PropertyCurrency|StarRating|Confidence|SupplierType|Location|ChainCodeID|RegionID|HighRate|LowRate|CheckInTime|CheckOutTime
351656|1|Iberostar Praia do Forte All Inclusive|Rodovia BA 099, Km 56|Praia do Forte|Mata de Sao Joao||48.280-000|BR|-12.55001|-37.98906|SSA|8|USD|4.0|52|ESR|Near Project Tamar Turtle Sanctuary|2227|601935|315.66|314.66|3 PM|Noon
364638|2|Radisson Blu Hotel Maputo|Avenida Marginal 141||Maputo|||MZ|-25.97040|32.59883|MPM|1|MZN|5.0|52|ESR|Near Museum of Natural History|2431|6281736|455|260||
360360|3|Kefalonia Bay Palace|Agia Efimia||Kefalonia||28081|GR|38.30492|20.60354|EFL|1|EUR|4.0|52|ESR|In Kefalonia (Agia Efimia)||6123438|376.5266|168.4478||
134083|4|Americas Best Value Inn|610 Western Avenue||Fergus Falls|MN|56537|US|46.28891|-96.11692|FAR|2|USD|2.0|95|ESR|Near Westridge Mall|2088|1206|83.5749|72.9987|3 PM|11 AM
323327|5|Stadia Suites|Juan Salvador Agraz # 60|Colonia Lomas de Santa Fe|Mexico City||05300|MX|19.35878|-99.27767|MEX|22|USD|3.5|52|ESR|Near Ciudad de los Ninos||2265|270.65|121.79|3 PM|1 PM
225368|6|Campanile Lille Roncq|Ctre Int. de Transport|Avenue de l'Europe|Roncq||59223|FR|50.75382|3.13692|LIL|1|EUR|3.0|13|ESR|In Roncq|2180|6046310|85.31|70.33||
370966|7|Alimounda Mare|Pigadia||Karpathos||85700|GR|35.50898|27.20525|AOK|1|EUR|5.0|52|ESR|Near Pigadia Archaeological Museum||396|546.1446|293.9738||
211778|8|Vintage Inn|6541 Washington St||Yountville|CA|94599|US|38.40220|-122.36174|SFO|1|USD|4.0|52|ESR|Near V Marketplace||10527|446|445||
230296|9|db San Antonio Hotel & Spa|Triq it-Turisti|Qawra|St Pauls Bay||SPB1024|MT|35.95280|14.41847|MLA|8|EUR|4.0|52|ESR|In St. Paul's Bay (Qawra)|2053|4805|402.96|196.09||
401455|10|The Green Leaf Niseko Village|Higashiyama Onsen, Niseko-cho,Abuta-gun||Niseko||048-1592|JP|42.84566|140.67642|CTS|3|JPY|4.0|52|ESR|Near Niseko Higashiyama Ski Area||500669|402.6806|212.596||
263408|11|Girassol Indy Congress Hotel And Spa|Rua Macombe Nongue-Nongue, R.1.373||Maputo||1750|MZ|-25.95482|32.60081|MPM|1|MZN|3.5|54|ESR|Near Eduardo Mondlane University||6281736|245.19|191.5||
366260|12|The Macdonald Dona Lola Club|Carretera de Cadiz-Malaga, Km 197|Calahonda|Mijas||29649|ES|36.48868|-4.71229|AGP|16|EUR|3.0|52|ESR|In Mijas (Calahonda)||10604|79.1679|78.1679||
227792|13|Campanile La Ferte Bernard|rue Robert Schumann||La Ferte-Bernard||72400|FR|48.17689|.65143|TUF|1|EUR|3.0|85|ESR|Near a train station|2180|500416|81.18|58.16||
420422|14|Residence Pierre & Vacances Mojacar Playa|Paseo del Mediterraneo, 409||Mojacar||04638|ES|37.14252|-1.82752|LEI|16|EUR|3.5|100|ESR|Near Mojacar Beach|2362|182349|143.1297|93.2994||
231110|15|Messapia Hotel & Resort|C.da Masseria Li Turchi|Marina Di Leuca|Castrignano del Capo||73040|IT|39.80479|18.36406|BDS|1|EUR|4.0|52|ESR|In Castrignano del Capo (Leuca)||6134264|150.92|99.56||
112677|16|Kahler Grand Hotel|20 2nd Ave Sw||Rochester|MN|55902|US|44.02343|-92.46563|RST|1|USD|3.0|52|ESR|Near Shops University Square||6059956|215.47|150.47|4 PM|11 AM
213884|17|The Duke Of Richmond Hotel|Cambridge Park||St Peter Port||GY1 1UY|GB|49.45976|-2.54227|GCI|1|GBP|4.0|5|ESR|Near Candie Gardens|2914|4305|594.88|232.3|2 PM|11 AM
144225|18|Palladium Hotel|Plati Yialos||Mykonos||84600|GR|37.41457|25.34448|JMK|1|EUR|5.0|52|ESR|In Mykonos (Platis Gialos)||1707|604.8|603.8|2 PM|noon
360346|19|Coconut Grove Regency Hotel|Mozambique Link, North Ridge|Cantonments|Accra||CT 3998|GH|5.57142|-.19238|ACC|1|GHS|3.0|52|ESR|Near Ghana State House|3264|6297295|307.5795|207.3124||
357094|20|Fleur de Chine Hotel|23 Zhongzheng Road|Sun Moon Lake|Yuchi||55546|TW|23.87114|120.92390|TPE|1|TWD|4.5|52|ESR|Near Sun Moon Lake Peacock Park||6141174|385.6179|337.0358||
240380|21|Ikos Oceania|Eleonas Beach Street|Nea Moudania|Nea Propontida||63200|GR|40.24597|23.26889|SKG|8|EUR|5.0|52|ESR|In Nea Propontida (Halkidiki)||6048552|525.79|304.4||
437531|22|Hotel Olympia|Divadelní nám. 43/5||Karlovy Vary||360 01|CZ|50.22154|12.88285|KLV|1|CZK|4.5|52|ESR|Near Karlovy Vary Municiple Theater||8307|171.43|170.43||
215216|23|Nissaki Boutique Hotel|Platis Gialos Beach||Mykonos||84600|GR|37.41475|25.34106|JMK|1|EUR|5.0|5|ESR|Near Platis Gialos Beach||1707|1089.498|567.9227|1 PM|noon
254615|24|Verandah Resort & Spa Antigua All Inclusive|Indian Town Road|Parish of St. Philip|Willikies|||AG|17.09714|-61.68928|ANU|8|USD|3.5|52|ESR|Near Long Bay|2537|11729|1200|683.75||
326784|25|Raina Beach Apartments|Titikaveka, South East||Rarotonga||682|CK|-21.27004|-159.74176|RAR|1|NZD|3.0|52|ESR|In Rarotonga (Titikaveka)||6055262|113.0025|79.1018||
274400|26|Hotel Garbí|Avenida de Baldomer Gili i Roig, 20||Palafrugell||17210|ES|41.88766|3.17973|GRO|1|EUR|3.0|52|ESR|Near Platja de Castell||182297|224.39|152.18|2 PM|noon
240106|27|Hotel Boemia|Via Antonio Gramsci 87||Riccione||47838|IT|43.99833|12.66656|RMI|1|EUR|4.0|52|ESR|Near Perle d'Acqua Park||4880|154.24|81.78|12:30 PM|10 AM
239437|28|Pizzomunno Vieste Palace Hotel|Lungomare Enrico Mattei, Km 1||Vieste||71019|IT|41.87219|16.17539|BRI|1|EUR|5.0|52|ESR|Near Pizzomuou||6023654|419.23|213.8||
404656|29|Thalasso Hotel El Palasiet|Calle Pontazgo, 11||Benicasim||12560|ES|40.05714|.08773|VLC|1|EUR|4.0|52|ESR|Near Voramar Beach||181362|360.54|194.94||
227963|30|Globales Cortijo Blanco|Avda. Jose Luis Carrillo Benitez, s/n|San Pedro de Alcantara|Marbella||29760|ES|36.48503|-4.97796|AGP|1|EUR|3.0|52|ESR|Near Centro Plaza|2755|5776|124.72|67.26||
400552|31|Le Vasa Resort|Cape Fatuosofia Road||Cape Fatuosofia|||WS|-13.86799|-172.07071|APW|3|WST|3.5|52|ESR|By the ocean||6158455|380|362||
